date,description,paid in,paid out,counterparty,property,document
2025-04-01,COMMERCIAL RENT COMM-04,3200.00,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202504
2025-04-03,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450.00,MERIDIAN COMMERCIAL,COMM-04,CMTG-202504
2025-04-05,MANAGING AGENT COMM-04,,256.00,HORIZON COMMERCIAL,COMM-04,INV-HC-202504
2025-05-01,COMMERCIAL RENT COMM-04,3200.00,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202505
2025-05-03,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450.00,MERIDIAN COMMERCIAL,COMM-04,CMTG-202505
2025-05-05,MANAGING AGENT COMM-04,,256.00,HORIZON COMMERCIAL,COMM-04,INV-HC-202505
2025-06-01,COMMERCIAL RENT COMM-04,3200.00,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202506
2025-06-03,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450.00,MERIDIAN COMMERCIAL,COMM-04,CMTG-202506
2025-06-05,MANAGING AGENT COMM-04,,256.00,HORIZON COMMERCIAL,COMM-04,INV-HC-202506
2025-06-30,DIRECTORS REMUNERATION,,9100.00,R MEHRA,,PAYROLL-2025-06
2025-07-01,COMMERCIAL RENT COMM-04,3200.00,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202507
2025-07-03,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450.00,MERIDIAN COMMERCIAL,COMM-04,CMTG-202507
2025-07-05,MANAGING AGENT COMM-04,,256.00,HORIZON COMMERCIAL,COMM-04,INV-HC-202507
2025-07-15,BUILDINGS INSURANCE COMMERCIAL,,1250.00,ALBION INSURANCE,COMM-04,POL-COMM-2025
2025-08-01,COMMERCIAL RENT COMM-04,3200.00,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202508
2025-08-03,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450.00,MERIDIAN COMMERCIAL,COMM-04,CMTG-202508
2025-08-05,MANAGING AGENT COMM-04,,256.00,HORIZON COMMERCIAL,COMM-04,INV-HC-202508
2025-09-01,COMMERCIAL RENT COMM-04,3200.00,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202509
2025-09-03,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450.00,MERIDIAN COMMERCIAL,COMM-04,CMTG-202509
2025-09-05,MANAGING AGENT COMM-04,,256.00,HORIZON COMMERCIAL,COMM-04,INV-HC-202509
2025-10-01,COMMERCIAL RENT COMM-04,3200.00,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202510
2025-10-03,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450.00,MERIDIAN COMMERCIAL,COMM-04,CMTG-202510
2025-10-05,MANAGING AGENT COMM-04,,256.00,HORIZON COMMERCIAL,COMM-04,INV-HC-202510
2025-11-01,COMMERCIAL RENT COMM-04,3200.00,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202511
2025-11-03,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450.00,MERIDIAN COMMERCIAL,COMM-04,CMTG-202511
2025-11-05,MANAGING AGENT COMM-04,,256.00,HORIZON COMMERCIAL,COMM-04,INV-HC-202511
2025-12-01,COMMERCIAL RENT COMM-04,3200.00,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202512
2025-12-03,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450.00,MERIDIAN COMMERCIAL,COMM-04,CMTG-202512
2025-12-05,MANAGING AGENT COMM-04,,256.00,HORIZON COMMERCIAL,COMM-04,INV-HC-202512
2026-01-01,COMMERCIAL RENT COMM-04,3200.00,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202601
2026-01-03,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450.00,MERIDIAN COMMERCIAL,COMM-04,CMTG-202601
2026-01-05,MANAGING AGENT COMM-04,,256.00,HORIZON COMMERCIAL,COMM-04,INV-HC-202601
2026-02-01,COMMERCIAL RENT COMM-04,3200.00,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202602
2026-02-03,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450.00,MERIDIAN COMMERCIAL,COMM-04,CMTG-202602
2026-02-05,MANAGING AGENT COMM-04,,256.00,HORIZON COMMERCIAL,COMM-04,INV-HC-202602
2026-02-10,ACCOUNTANCY FEES,,2100.00,WHITFIELD & CO,,INV-WC-2310
2026-03-01,COMMERCIAL RENT COMM-04,3200.00,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202603
2026-03-03,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450.00,MERIDIAN COMMERCIAL,COMM-04,CMTG-202603
2026-03-05,MANAGING AGENT COMM-04,,256.00,HORIZON COMMERCIAL,COMM-04,INV-HC-202603
