date,description,paid in,paid out,counterparty,property,document
2025-04-06,RENT FLAT-01 TENANT PAYMENT,1250.00,,LETTINGS CLIENT ACCOUNT,FLAT-01,RENT-FLAT-01-202504
2025-04-06,RENT FLAT-02 TENANT PAYMENT,975.00,,LETTINGS CLIENT ACCOUNT,FLAT-02,RENT-FLAT-02-202504
2025-04-06,RENT HOUSE-03 TENANT PAYMENT,1850.00,,LETTINGS CLIENT ACCOUNT,HOUSE-03,RENT-HOUSE-03-202504
2025-04-07,MANAGEMENT FEE FLAT-01,,125.00,HORIZON LETTINGS LTD,FLAT-01,INV-HL-202504-FLAT-01
2025-04-07,MANAGEMENT FEE FLAT-02,,97.50,HORIZON LETTINGS LTD,FLAT-02,INV-HL-202504-FLAT-02
2025-04-07,MANAGEMENT FEE HOUSE-03,,222.00,HORIZON LETTINGS LTD,HOUSE-03,INV-HL-202504-HOUSE-03
2025-04-09,MORTGAGE INTEREST FLAT-01,,520.00,MERIDIAN BANK PLC,FLAT-01,MTG-FLAT-01-202504
2025-04-09,MORTGAGE INTEREST FLAT-02,,410.00,MERIDIAN BANK PLC,FLAT-02,MTG-FLAT-02-202504
2025-04-09,MORTGAGE INTEREST HOUSE-03,,780.00,MERIDIAN BANK PLC,HOUSE-03,MTG-HOUSE-03-202504
2025-04-15,ACCOUNTING SOFTWARE SUBSCRIPTION,,29.99,LEDGERWORKS,,SUB-202504
2025-05-06,RENT FLAT-01 TENANT PAYMENT,1250.00,,LETTINGS CLIENT ACCOUNT,FLAT-01,RENT-FLAT-01-202505
2025-05-06,RENT FLAT-02 TENANT PAYMENT,975.00,,LETTINGS CLIENT ACCOUNT,FLAT-02,RENT-FLAT-02-202505
2025-05-06,RENT HOUSE-03 TENANT PAYMENT,1850.00,,LETTINGS CLIENT ACCOUNT,HOUSE-03,RENT-HOUSE-03-202505
2025-05-07,MANAGEMENT FEE FLAT-01,,125.00,HORIZON LETTINGS LTD,FLAT-01,INV-HL-202505-FLAT-01
2025-05-07,MANAGEMENT FEE FLAT-02,,97.50,HORIZON LETTINGS LTD,FLAT-02,INV-HL-202505-FLAT-02
2025-05-07,MANAGEMENT FEE HOUSE-03,,222.00,HORIZON LETTINGS LTD,HOUSE-03,INV-HL-202505-HOUSE-03
2025-05-09,MORTGAGE INTEREST FLAT-01,,520.00,MERIDIAN BANK PLC,FLAT-01,MTG-FLAT-01-202505
2025-05-09,MORTGAGE INTEREST FLAT-02,,410.00,MERIDIAN BANK PLC,FLAT-02,MTG-FLAT-02-202505
2025-05-09,MORTGAGE INTEREST HOUSE-03,,780.00,MERIDIAN BANK PLC,HOUSE-03,MTG-HOUSE-03-202505
2025-05-11,REPAIR HOUSE-03 NORTHGATE ROOFING,,495.00,NORTHGATE ROOFING,HOUSE-03,INV-75331
2025-05-12,BUILDINGS INSURANCE FLAT-01,,340.00,ALBION INSURANCE,FLAT-01,POL-FLAT-01-2025
2025-05-12,BUILDINGS INSURANCE FLAT-02,,295.00,ALBION INSURANCE,FLAT-02,POL-FLAT-02-2025
2025-05-12,BUILDINGS INSURANCE HOUSE-03,,520.00,ALBION INSURANCE,HOUSE-03,POL-HOUSE-03-2025
2025-05-15,ACCOUNTING SOFTWARE SUBSCRIPTION,,29.99,LEDGERWORKS,,SUB-202505
2025-05-22,REPAIR FLAT-01 BRIGHTON DECOR CO,,142.00,BRIGHTON DECOR CO,FLAT-01,INV-54178
2025-05-22,TRANSFER MAINTENANCE SERVICES,,800.00,PREMIER MAINTENANCE,,
2025-05-28,PAYMENT R MEHRA CONSULTANCY,,1500.00,R MEHRA,,
2025-06-03,COUNTER CREDIT CASH,450.00,,,,
2025-06-06,RENT FLAT-01 TENANT PAYMENT,1250.00,,LETTINGS CLIENT ACCOUNT,FLAT-01,RENT-FLAT-01-202506
2025-06-06,RENT HOUSE-03 TENANT PAYMENT,1850.00,,LETTINGS CLIENT ACCOUNT,HOUSE-03,RENT-HOUSE-03-202506
2025-06-07,MANAGEMENT FEE FLAT-01,,125.00,HORIZON LETTINGS LTD,FLAT-01,INV-HL-202506-FLAT-01
2025-06-07,MANAGEMENT FEE HOUSE-03,,222.00,HORIZON LETTINGS LTD,HOUSE-03,INV-HL-202506-HOUSE-03
2025-06-09,MORTGAGE INTEREST FLAT-01,,520.00,MERIDIAN BANK PLC,FLAT-01,MTG-FLAT-01-202506
2025-06-09,MORTGAGE INTEREST HOUSE-03,,780.00,MERIDIAN BANK PLC,HOUSE-03,MTG-HOUSE-03-202506
2025-06-15,ACCOUNTING SOFTWARE SUBSCRIPTION,,29.99,LEDGERWORKS,,SUB-202506
2025-06-17,REPAIR HOUSE-03 CITY GAS SAFETY,,318.40,CITY GAS SAFETY,HOUSE-03,INV-25106
2025-06-22,TRANSFER MAINTENANCE SERVICES,,800.00,PREMIER MAINTENANCE,,
2025-07-06,RENT FLAT-01 TENANT PAYMENT,1250.00,,LETTINGS CLIENT ACCOUNT,FLAT-01,RENT-FLAT-01-202507
2025-07-06,RENT HOUSE-03 TENANT PAYMENT,1850.00,,LETTINGS CLIENT ACCOUNT,HOUSE-03,RENT-HOUSE-03-202507
2025-07-07,MANAGEMENT FEE FLAT-01,,125.00,HORIZON LETTINGS LTD,FLAT-01,INV-HL-202507-FLAT-01
2025-07-07,MANAGEMENT FEE HOUSE-03,,222.00,HORIZON LETTINGS LTD,HOUSE-03,INV-HL-202507-HOUSE-03
2025-07-09,MORTGAGE INTEREST FLAT-01,,520.00,MERIDIAN BANK PLC,FLAT-01,MTG-FLAT-01-202507
2025-07-09,MORTGAGE INTEREST HOUSE-03,,780.00,MERIDIAN BANK PLC,HOUSE-03,MTG-HOUSE-03-202507
2025-07-10,REPAIR FLAT-02 J HARLAND ELECTRICAL,,168.90,J HARLAND ELECTRICAL,FLAT-02,INV-55408
2025-07-15,ACCOUNTING SOFTWARE SUBSCRIPTION,,29.99,LEDGERWORKS,,SUB-202507
2025-07-18,GAS SAFETY CERTIFICATE FLAT-01,,92.00,CITY GAS SAFETY,FLAT-01,CP12-FLAT-01-7
2025-07-18,GAS SAFETY CERTIFICATE FLAT-02,,92.00,CITY GAS SAFETY,FLAT-02,CP12-FLAT-02-7
2025-07-18,GAS SAFETY CERTIFICATE HOUSE-03,,92.00,CITY GAS SAFETY,HOUSE-03,CP12-HOUSE-03-7
2025-07-22,TRANSFER MAINTENANCE SERVICES,,800.00,PREMIER MAINTENANCE,,
2025-08-06,RENT FLAT-01 TENANT PAYMENT,1250.00,,LETTINGS CLIENT ACCOUNT,FLAT-01,RENT-FLAT-01-202508
2025-08-06,RENT FLAT-02 TENANT PAYMENT,975.00,,LETTINGS CLIENT ACCOUNT,FLAT-02,RENT-FLAT-02-202508
2025-08-06,RENT HOUSE-03 TENANT PAYMENT,1850.00,,LETTINGS CLIENT ACCOUNT,HOUSE-03,RENT-HOUSE-03-202508
2025-08-07,MANAGEMENT FEE FLAT-01,,125.00,HORIZON LETTINGS LTD,FLAT-01,INV-HL-202508-FLAT-01
2025-08-07,MANAGEMENT FEE FLAT-02,,97.50,HORIZON LETTINGS LTD,FLAT-02,INV-HL-202508-FLAT-02
2025-08-07,MANAGEMENT FEE HOUSE-03,,222.00,HORIZON LETTINGS LTD,HOUSE-03,INV-HL-202508-HOUSE-03
2025-08-09,MORTGAGE INTEREST FLAT-01,,520.00,MERIDIAN BANK PLC,FLAT-01,MTG-FLAT-01-202508
2025-08-09,MORTGAGE INTEREST FLAT-02,,410.00,MERIDIAN BANK PLC,FLAT-02,MTG-FLAT-02-202508
2025-08-09,MORTGAGE INTEREST HOUSE-03,,780.00,MERIDIAN BANK PLC,HOUSE-03,MTG-HOUSE-03-202508
2025-08-15,ACCOUNTING SOFTWARE SUBSCRIPTION,,29.99,LEDGERWORKS,,SUB-202508
2025-08-19,COUNTER CREDIT CASH,620.00,,,,
2025-08-22,TRANSFER MAINTENANCE SERVICES,,800.00,PREMIER MAINTENANCE,,
2025-08-28,PAYMENT R MEHRA CONSULTANCY,,1500.00,R MEHRA,,
2025-09-06,RENT FLAT-01 TENANT PAYMENT,1250.00,,LETTINGS CLIENT ACCOUNT,FLAT-01,RENT-FLAT-01-202509
2025-09-06,RENT FLAT-02 TENANT PAYMENT,975.00,,LETTINGS CLIENT ACCOUNT,FLAT-02,RENT-FLAT-02-202509
2025-09-06,RENT HOUSE-03 TENANT PAYMENT,1850.00,,LETTINGS CLIENT ACCOUNT,HOUSE-03,RENT-HOUSE-03-202509
2025-09-07,MANAGEMENT FEE FLAT-01,,125.00,HORIZON LETTINGS LTD,FLAT-01,INV-HL-202509-FLAT-01
2025-09-07,MANAGEMENT FEE FLAT-02,,97.50,HORIZON LETTINGS LTD,FLAT-02,INV-HL-202509-FLAT-02
2025-09-07,MANAGEMENT FEE HOUSE-03,,222.00,HORIZON LETTINGS LTD,HOUSE-03,INV-HL-202509-HOUSE-03
2025-09-09,MORTGAGE INTEREST FLAT-01,,520.00,MERIDIAN BANK PLC,FLAT-01,MTG-FLAT-01-202509
2025-09-09,MORTGAGE INTEREST FLAT-02,,410.00,MERIDIAN BANK PLC,FLAT-02,MTG-FLAT-02-202509
2025-09-09,MORTGAGE INTEREST HOUSE-03,,780.00,MERIDIAN BANK PLC,HOUSE-03,MTG-HOUSE-03-202509
2025-09-14,NORTHGATE ROOFING HOUSE-03 ROOF REPAIR,,2450.00,NORTHGATE ROOFING,HOUSE-03,INV-NR-8871
2025-09-15,ACCOUNTING SOFTWARE SUBSCRIPTION,,29.99,LEDGERWORKS,,SUB-202509
2025-09-22,TRANSFER MAINTENANCE SERVICES,,800.00,PREMIER MAINTENANCE,,
2025-09-27,NORTHGATE ROOFING HOUSE-03 ROOF REPAIR,,2450.00,NORTHGATE ROOFING,HOUSE-03,INV-NR-8871
2025-10-06,RENT FLAT-01 TENANT PAYMENT,1250.00,,LETTINGS CLIENT ACCOUNT,FLAT-01,RENT-FLAT-01-202510
2025-10-06,RENT FLAT-02 TENANT PAYMENT,975.00,,LETTINGS CLIENT ACCOUNT,FLAT-02,RENT-FLAT-02-202510
2025-10-06,RENT HOUSE-03 TENANT PAYMENT,1850.00,,LETTINGS CLIENT ACCOUNT,HOUSE-03,RENT-HOUSE-03-202510
2025-10-07,MANAGEMENT FEE FLAT-01,,125.00,HORIZON LETTINGS LTD,FLAT-01,INV-HL-202510-FLAT-01
2025-10-07,MANAGEMENT FEE FLAT-02,,97.50,HORIZON LETTINGS LTD,FLAT-02,INV-HL-202510-FLAT-02
2025-10-07,MANAGEMENT FEE HOUSE-03,,222.00,HORIZON LETTINGS LTD,HOUSE-03,INV-HL-202510-HOUSE-03
2025-10-09,MORTGAGE INTEREST FLAT-01,,520.00,MERIDIAN BANK PLC,FLAT-01,MTG-FLAT-01-202510
2025-10-09,MORTGAGE INTEREST FLAT-02,,410.00,MERIDIAN BANK PLC,FLAT-02,MTG-FLAT-02-202510
2025-10-09,MORTGAGE INTEREST HOUSE-03,,780.00,MERIDIAN BANK PLC,HOUSE-03,MTG-HOUSE-03-202510
2025-10-09,LOFT CONVERSION HOUSE-03 STAGE 1,,18500.00,NORTHGATE ROOFING,HOUSE-03,INV-NR-9004
2025-10-15,ACCOUNTING SOFTWARE SUBSCRIPTION,,29.99,LEDGERWORKS,,SUB-202510
2025-10-22,TRANSFER MAINTENANCE SERVICES,,800.00,PREMIER MAINTENANCE,,
2025-11-06,RENT FLAT-01 TENANT PAYMENT,1250.00,,LETTINGS CLIENT ACCOUNT,FLAT-01,RENT-FLAT-01-202511
2025-11-06,RENT FLAT-02 TENANT PAYMENT,975.00,,LETTINGS CLIENT ACCOUNT,FLAT-02,RENT-FLAT-02-202511
2025-11-06,RENT HOUSE-03 TENANT PAYMENT,1850.00,,LETTINGS CLIENT ACCOUNT,HOUSE-03,RENT-HOUSE-03-202511
2025-11-07,MANAGEMENT FEE FLAT-01,,125.00,HORIZON LETTINGS LTD,FLAT-01,INV-HL-202511-FLAT-01
2025-11-07,MANAGEMENT FEE FLAT-02,,97.50,HORIZON LETTINGS LTD,FLAT-02,INV-HL-202511-FLAT-02
2025-11-07,MANAGEMENT FEE HOUSE-03,,222.00,HORIZON LETTINGS LTD,HOUSE-03,INV-HL-202511-HOUSE-03
2025-11-07,COUNTER CREDIT CASH,380.00,,,,
2025-11-09,MORTGAGE INTEREST FLAT-01,,520.00,MERIDIAN BANK PLC,FLAT-01,MTG-FLAT-01-202511
2025-11-09,MORTGAGE INTEREST FLAT-02,,410.00,MERIDIAN BANK PLC,FLAT-02,MTG-FLAT-02-202511
2025-11-09,MORTGAGE INTEREST HOUSE-03,,780.00,MERIDIAN BANK PLC,HOUSE-03,MTG-HOUSE-03-202511
2025-11-15,ACCOUNTING SOFTWARE SUBSCRIPTION,,29.99,LEDGERWORKS,,SUB-202511
2025-11-18,GAS SAFETY CERTIFICATE FLAT-01,,92.00,CITY GAS SAFETY,FLAT-01,CP12-FLAT-01-11
2025-11-18,GAS SAFETY CERTIFICATE FLAT-02,,92.00,CITY GAS SAFETY,FLAT-02,CP12-FLAT-02-11
2025-11-18,GAS SAFETY CERTIFICATE HOUSE-03,,92.00,CITY GAS SAFETY,HOUSE-03,CP12-HOUSE-03-11
2025-11-22,TRANSFER MAINTENANCE SERVICES,,800.00,PREMIER MAINTENANCE,,
2025-11-27,REPAIR FLAT-02 CITY GAS SAFETY,,142.00,CITY GAS SAFETY,FLAT-02,INV-41675
2025-11-28,PAYMENT R MEHRA CONSULTANCY,,1500.00,R MEHRA,,
2025-11-29,REPAIR HOUSE-03 BRIGHTON DECOR CO,,495.00,BRIGHTON DECOR CO,HOUSE-03,INV-97780
2025-12-06,RENT FLAT-01 TENANT PAYMENT,1250.00,,LETTINGS CLIENT ACCOUNT,FLAT-01,RENT-FLAT-01-202512
2025-12-06,RENT FLAT-02 TENANT PAYMENT,975.00,,LETTINGS CLIENT ACCOUNT,FLAT-02,RENT-FLAT-02-202512
2025-12-06,RENT HOUSE-03 TENANT PAYMENT,1850.00,,LETTINGS CLIENT ACCOUNT,HOUSE-03,RENT-HOUSE-03-202512
2025-12-07,MANAGEMENT FEE FLAT-01,,125.00,HORIZON LETTINGS LTD,FLAT-01,INV-HL-202512-FLAT-01
2025-12-07,MANAGEMENT FEE FLAT-02,,97.50,HORIZON LETTINGS LTD,FLAT-02,INV-HL-202512-FLAT-02
2025-12-07,MANAGEMENT FEE HOUSE-03,,222.00,HORIZON LETTINGS LTD,HOUSE-03,INV-HL-202512-HOUSE-03
2025-12-09,MORTGAGE INTEREST FLAT-01,,520.00,MERIDIAN BANK PLC,FLAT-01,MTG-FLAT-01-202512
2025-12-09,MORTGAGE INTEREST FLAT-02,,410.00,MERIDIAN BANK PLC,FLAT-02,MTG-FLAT-02-202512
2025-12-09,MORTGAGE INTEREST HOUSE-03,,780.00,MERIDIAN BANK PLC,HOUSE-03,MTG-HOUSE-03-202512
2025-12-15,ACCOUNTING SOFTWARE SUBSCRIPTION,,29.99,LEDGERWORKS,,SUB-202512
2025-12-21,REPAIR FLAT-01 J HARLAND ELECTRICAL,,168.90,J HARLAND ELECTRICAL,FLAT-01,INV-57519
2025-12-24,REPAIR FLAT-01 BRIGHTON DECOR CO,,142.00,BRIGHTON DECOR CO,FLAT-01,INV-11583
2025-12-24,REPAIR FLAT-02 BRIGHTON DECOR CO,,168.90,BRIGHTON DECOR CO,FLAT-02,INV-99804
2026-01-06,RENT FLAT-01 TENANT PAYMENT,1250.00,,LETTINGS CLIENT ACCOUNT,FLAT-01,RENT-FLAT-01-202601
2026-01-06,RENT FLAT-02 TENANT PAYMENT,975.00,,LETTINGS CLIENT ACCOUNT,FLAT-02,RENT-FLAT-02-202601
2026-01-06,RENT HOUSE-03 TENANT PAYMENT,1850.00,,LETTINGS CLIENT ACCOUNT,HOUSE-03,RENT-HOUSE-03-202601
2026-01-07,MANAGEMENT FEE FLAT-01,,125.00,HORIZON LETTINGS LTD,FLAT-01,INV-HL-202601-FLAT-01
2026-01-07,MANAGEMENT FEE FLAT-02,,97.50,HORIZON LETTINGS LTD,FLAT-02,INV-HL-202601-FLAT-02
2026-01-07,MANAGEMENT FEE HOUSE-03,,222.00,HORIZON LETTINGS LTD,HOUSE-03,INV-HL-202601-HOUSE-03
2026-01-09,MORTGAGE INTEREST FLAT-01,,520.00,MERIDIAN BANK PLC,FLAT-01,MTG-FLAT-01-202601
2026-01-09,MORTGAGE INTEREST FLAT-02,,410.00,MERIDIAN BANK PLC,FLAT-02,MTG-FLAT-02-202601
2026-01-09,MORTGAGE INTEREST HOUSE-03,,780.00,MERIDIAN BANK PLC,HOUSE-03,MTG-HOUSE-03-202601
2026-01-15,ACCOUNTING SOFTWARE SUBSCRIPTION,,29.99,LEDGERWORKS,,SUB-202601
2026-01-20,ACCOUNTANCY FEES YEAR END,,1450.00,WHITFIELD & CO,,INV-WC-2291
2026-02-06,RENT FLAT-01 TENANT PAYMENT,1250.00,,LETTINGS CLIENT ACCOUNT,FLAT-01,RENT-FLAT-01-202602
2026-02-06,RENT FLAT-02 TENANT PAYMENT,975.00,,LETTINGS CLIENT ACCOUNT,FLAT-02,RENT-FLAT-02-202602
2026-02-06,RENT HOUSE-03 TENANT PAYMENT,1850.00,,LETTINGS CLIENT ACCOUNT,HOUSE-03,RENT-HOUSE-03-202602
2026-02-07,MANAGEMENT FEE FLAT-01,,125.00,HORIZON LETTINGS LTD,FLAT-01,INV-HL-202602-FLAT-01
2026-02-07,MANAGEMENT FEE FLAT-02,,97.50,HORIZON LETTINGS LTD,FLAT-02,INV-HL-202602-FLAT-02
