model,listing_id,reg_year,age_years,mileage,avg_annual_mileage,trim,fuel,transmission,engine_litres,body,former_keepers,service_history,seller_type,condition,region,original_list_gbp,asking_price_gbp,retained_pct
Vauxhall Astra,AST-001,2026,0,25,,Griffin,Plug-in Hybrid,Automatic,1.6,Hatchback,1,Full,Independent dealer,Good,South West,29995,28375,0.946
Vauxhall Astra,AST-002,2025,1,19124,19124,Ultimate,Petrol,Automatic,1.6,Hatchback,1,Full,Independent dealer,Good,London,29500,23760,0.8054
Vauxhall Astra,AST-003,2025,1,4360,4360,Ultimate,Petrol,Manual,1.5,Hatchback,1,Full,Private,Good,South East,29500,21600,0.7322
Vauxhall Astra,AST-004,2025,1,17137,17137,Ultimate,Plug-in Hybrid,Automatic,1.6,Hatchback,1,Full,Independent dealer,Good,Wales,29500,25435,0.8622
Vauxhall Astra,AST-005,2025,1,6255,6255,GS,Electric,Automatic,-,Hatchback,1,Full,Franchise dealer,Good,Wales,29500,23970,0.8125
Vauxhall Astra,AST-006,2025,1,8421,8421,GS,Hybrid,Automatic,1.2,Hatchback,1,Full,Franchise dealer,Good,Scotland,29500,28945,0.9812
Vauxhall Astra,AST-007,2025,1,4340,4340,GS,Petrol,Manual,1.5,Hatchback,1,Full,Franchise dealer,Good,West Midlands,29500,25425,0.8619
Vauxhall Astra,AST-008,2025,1,4451,4451,Design,Electric,Automatic,-,Sports Tourer,1,Full,Franchise dealer,Excellent,West Midlands,29500,22455,0.7612
Vauxhall Astra,AST-009,2025,1,13016,13016,GS,Hybrid,Automatic,1.2,Sports Tourer,1,Full,Independent dealer,Good,London,29500,27160,0.9207
Vauxhall Astra,AST-010,2025,1,17448,17448,GS Line,Petrol,Manual,1.5,Hatchback,1,Full,Private,Good,East of England,29500,20140,0.6827
Vauxhall Astra,AST-011,2025,1,9625,9625,Ultimate,Plug-in Hybrid,Automatic,1.6,Hatchback,1,Full,Private,Good,North East,29500,23990,0.8132
Vauxhall Astra,AST-012,2024,2,31312,15656,Design,Hybrid,Automatic,1.2,Hatchback,1,Full,Franchise dealer,Good,Wales,28500,18910,0.6635
Vauxhall Astra,AST-013,2024,2,30654,15327,Griffin,Petrol,Manual,1.4,Hatchback,1,Full,Independent dealer,Good,North West,28500,16120,0.5656
Vauxhall Astra,AST-014,2024,2,13367,6684,GS,Electric,Automatic,-,Hatchback,1,Full,Independent dealer,Fair,Yorkshire,28500,16005,0.5616
Vauxhall Astra,AST-015,2024,2,30516,15258,Griffin,Petrol,Manual,1.2,Sports Tourer,1,Full,Private,Good,South West,28500,16485,0.5784
Vauxhall Astra,AST-016,2024,2,30784,15392,Ultimate,Hybrid,Automatic,1.2,Hatchback,2,Full,Franchise dealer,Excellent,West Midlands,28500,22600,0.793
Vauxhall Astra,AST-017,2024,2,25250,12625,Ultimate,Petrol,Manual,1.2,Hatchback,2,Full,Franchise dealer,Good,Wales,28500,22175,0.7781
Vauxhall Astra,AST-018,2024,2,12801,6400,Griffin,Electric,Automatic,-,Hatchback,2,Full,Independent dealer,Excellent,South East,28500,17520,0.6147
Vauxhall Astra,AST-019,2024,2,16666,8333,GS Line,Plug-in Hybrid,Automatic,1.6,Sports Tourer,2,Full,Franchise dealer,Excellent,South West,28500,21365,0.7496
Vauxhall Astra,AST-020,2024,2,29182,14591,Ultimate,Hybrid,Automatic,1.2,Hatchback,1,Full,Franchise dealer,Fair,South East,28500,20065,0.704
