listing_id,reg_year,age_years,mileage,avg_annual_mileage,trim,fuel,transmission,engine_litres,body,former_keepers,service_history,seller_type,condition,region,original_list_gbp,asking_price_gbp,retained_pct
GOL-001,2026,0,25,,Life,Petrol,Automatic,1.4,Hatchback,1,Full,Franchise dealer,Good,Wales,30500,32375,1.0615
GOL-002,2026,0,25,,Black Edition,Petrol,Automatic,1.4,Hatchback,1,Full,Franchise dealer,Good,North East,30500,36470,1.1957
GOL-003,2026,0,3056,,GTI,Hybrid,Automatic,1.2,Hatchback,1,Full,Independent dealer,Good,Yorkshire,30500,35860,1.1757
GOL-004,2026,0,207,,Black Edition,Petrol,Manual,1.6,Hatchback,1,Full,Independent dealer,Excellent,South West,30500,31855,1.0444
GOL-005,2026,0,3337,,Match,Hybrid,Automatic,1.2,Hatchback,1,Full,Independent dealer,Excellent,Scotland,30500,30155,0.9887
GOL-006,2025,1,7372,7372,GTI,Petrol,Automatic,1.2,Hatchback,1,Full,Franchise dealer,Good,London,30000,32100,1.07
GOL-007,2025,1,4212,4212,Life,Petrol,Automatic,1.5,Hatchback,1,Full,Franchise dealer,Good,North East,30000,25125,0.8375
GOL-008,2025,1,10204,10204,R-Line,Plug-in Hybrid,Automatic,1.6,Hatchback,1,Full,Independent dealer,Good,East of England,30000,27315,0.9105
GOL-009,2025,1,10809,10809,Life,Petrol,Automatic,1.2,Hatchback,1,Full,Independent dealer,Good,Yorkshire,30000,22755,0.7585
GOL-010,2025,1,7572,7572,Black Edition,Petrol,Manual,1.4,Hatchback,1,Full,Private,Good,Yorkshire,30000,22075,0.7358
GOL-011,2024,2,37337,18668,Match,Hybrid,Automatic,1.2,Hatchback,2,Full,Franchise dealer,Good,North West,29000,22855,0.7881
GOL-012,2024,2,27527,13764,Match,Petrol,Automatic,1.2,Sports Tourer,2,Full,Private,Good,Yorkshire,29000,18050,0.6224
GOL-013,2024,2,28890,14445,Match,Petrol,Manual,1.2,Sports Tourer,1,Full,Independent dealer,Fair,London,29000,17630,0.6079
GOL-014,2024,2,24666,12333,Match,Petrol,Manual,1.6,Hatchback,2,Full,Independent dealer,Good,Wales,29000,18775,0.6474
GOL-015,2024,2,10593,5296,GTI,Petrol,Manual,1.6,Hatchback,1,Full,Independent dealer,Good,London,29000,24055,0.8295
GOL-016,2024,2,9928,4964,R-Line,Hybrid,Automatic,1.2,Hatchback,1,Full,Private,Good,Yorkshire,29000,22450,0.7741
