date,description,paid in,paid out,counterparty,property,document
01/04/2025,COMMERCIAL RENT COMM-04,3200,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202504
03/04/2025,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450,MERIDIAN COMMERCIAL,COMM-04,CMTG-202504
05/04/2025,MANAGING AGENT COMM-04,,256,HORIZON COMMERCIAL,COMM-04,INV-HC-202504
01/05/2025,COMMERCIAL RENT COMM-04,3200,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202505
03/05/2025,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450,MERIDIAN COMMERCIAL,COMM-04,CMTG-202505
05/05/2025,MANAGING AGENT COMM-04,,256,HORIZON COMMERCIAL,COMM-04,INV-HC-202505
01/06/2025,COMMERCIAL RENT COMM-04,3200,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202506
03/06/2025,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450,MERIDIAN COMMERCIAL,COMM-04,CMTG-202506
05/06/2025,MANAGING AGENT COMM-04,,256,HORIZON COMMERCIAL,COMM-04,INV-HC-202506
30/06/2025,DIRECTORS REMUNERATION,,9100,R MEHRA,,PAYROLL-2025-06
01/07/2025,COMMERCIAL RENT COMM-04,3200,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202507
03/07/2025,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450,MERIDIAN COMMERCIAL,COMM-04,CMTG-202507
05/07/2025,MANAGING AGENT COMM-04,,256,HORIZON COMMERCIAL,COMM-04,INV-HC-202507
15/07/2025,BUILDINGS INSURANCE COMMERCIAL,,1250,ALBION INSURANCE,COMM-04,POL-COMM-2025
01/08/2025,COMMERCIAL RENT COMM-04,3200,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202508
03/08/2025,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450,MERIDIAN COMMERCIAL,COMM-04,CMTG-202508
05/08/2025,MANAGING AGENT COMM-04,,256,HORIZON COMMERCIAL,COMM-04,INV-HC-202508
01/09/2025,COMMERCIAL RENT COMM-04,3200,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202509
03/09/2025,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450,MERIDIAN COMMERCIAL,COMM-04,CMTG-202509
05/09/2025,MANAGING AGENT COMM-04,,256,HORIZON COMMERCIAL,COMM-04,INV-HC-202509
01/10/2025,COMMERCIAL RENT COMM-04,3200,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202510
03/10/2025,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450,MERIDIAN COMMERCIAL,COMM-04,CMTG-202510
05/10/2025,MANAGING AGENT COMM-04,,256,HORIZON COMMERCIAL,COMM-04,INV-HC-202510
01/11/2025,COMMERCIAL RENT COMM-04,3200,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202511
03/11/2025,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450,MERIDIAN COMMERCIAL,COMM-04,CMTG-202511
05/11/2025,MANAGING AGENT COMM-04,,256,HORIZON COMMERCIAL,COMM-04,INV-HC-202511
01/12/2025,COMMERCIAL RENT COMM-04,3200,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202512
03/12/2025,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450,MERIDIAN COMMERCIAL,COMM-04,CMTG-202512
05/12/2025,MANAGING AGENT COMM-04,,256,HORIZON COMMERCIAL,COMM-04,INV-HC-202512
01/01/2026,COMMERCIAL RENT COMM-04,3200,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202601
03/01/2026,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450,MERIDIAN COMMERCIAL,COMM-04,CMTG-202601
05/01/2026,MANAGING AGENT COMM-04,,256,HORIZON COMMERCIAL,COMM-04,INV-HC-202601
01/02/2026,COMMERCIAL RENT COMM-04,3200,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202602
03/02/2026,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450,MERIDIAN COMMERCIAL,COMM-04,CMTG-202602
05/02/2026,MANAGING AGENT COMM-04,,256,HORIZON COMMERCIAL,COMM-04,INV-HC-202602
10/02/2026,ACCOUNTANCY FEES,,2100,WHITFIELD & CO,,INV-WC-2310
01/03/2026,COMMERCIAL RENT COMM-04,3200,,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202603
03/03/2026,COMMERCIAL MORTGAGE INTEREST COMM-04,,1450,MERIDIAN COMMERCIAL,COMM-04,CMTG-202603
05/03/2026,MANAGING AGENT COMM-04,,256,HORIZON COMMERCIAL,COMM-04,INV-HC-202603
