date,description,paid_in,paid_out,counterparty,property,document,amount,direction,month,text,stream,category,unusual
2025-04-01,COMMERCIAL RENT COMM-04,3200.0,0.0,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202504,3200.0,CASH IN,2025-04,commercial rent comm-04 tenant - kestrel trading ltd,COMMERCIAL RENT COMM-04,Rental income,False
2025-04-03,COMMERCIAL MORTGAGE INTEREST COMM-04,0.0,1450.0,MERIDIAN COMMERCIAL,COMM-04,CMTG-202504,-1450.0,CASH OUT,2025-04,commercial mortgage interest comm-04 meridian commercial,COMMERCIAL MORTGAGE INTEREST COMM-04,Mortgage interest,False
2025-04-05,MANAGING AGENT COMM-04,0.0,256.0,HORIZON COMMERCIAL,COMM-04,INV-HC-202504,-256.0,CASH OUT,2025-04,managing agent comm-04 horizon commercial,MANAGING AGENT COMM-04,Managing agent fees,False
2025-05-01,COMMERCIAL RENT COMM-04,3200.0,0.0,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202505,3200.0,CASH IN,2025-05,commercial rent comm-04 tenant - kestrel trading ltd,COMMERCIAL RENT COMM-04,Rental income,False
2025-05-03,COMMERCIAL MORTGAGE INTEREST COMM-04,0.0,1450.0,MERIDIAN COMMERCIAL,COMM-04,CMTG-202505,-1450.0,CASH OUT,2025-05,commercial mortgage interest comm-04 meridian commercial,COMMERCIAL MORTGAGE INTEREST COMM-04,Mortgage interest,False
2025-05-05,MANAGING AGENT COMM-04,0.0,256.0,HORIZON COMMERCIAL,COMM-04,INV-HC-202505,-256.0,CASH OUT,2025-05,managing agent comm-04 horizon commercial,MANAGING AGENT COMM-04,Managing agent fees,False
2025-06-01,COMMERCIAL RENT COMM-04,3200.0,0.0,TENANT - KESTREL TRADING LTD,COMM-04,RENT-COMM-04-202506,3200.0,CASH IN,2025-06,commercial rent comm-04 tenant - kestrel trading ltd,COMMERCIAL RENT COMM-04,Rental income,False
2025-06-03,COMMERCIAL MORTGAGE INTEREST COMM-04,0.0,1450.0,MERIDIAN COMMERCIAL,COMM-04,CMTG-202506,-1450.0,CASH OUT,2025-06,commercial mortgage interest comm-04 meridian commercial,COMMERCIAL MORTGAGE INTEREST COMM-04,Mortgage interest,False
2025-06-05,MANAGING AGENT COMM-04,0.0,256.0,HORIZON COMMERCIAL,COMM-04,INV-HC-202506,-256.0,CASH OUT,2025-06,managing agent comm-04 horizon commercial,MANAGING AGENT COMM-04,Managing agent fees,False
2025-06-30,DIRECTORS REMUNERATION,0.0,9100.0,R MEHRA,UNALLOCATED / COMPANY-WIDE,PAYROLL-2025-06,-9100.0,CASH OUT,2025-06,directors remuneration r mehra,DIRECTORS REMUNERATION,Directors remuneration,True
